state,district,season,recommended_crops,primary_crop,notes,avg_N,avg_P,avg_K,avg_ph,avg_temp,avg_rainfall
Karnataka,Bengaluru,Kharif,Rice;Maize;Beans,Rice,Good rainfall region during monsoon,90,45,40,6.5,28.5,220
Karnataka,Bengaluru,Rabi,Mustard;Wheat;Vegetables,Mustard,Cool-season crops preferred,65,40,35,6.7,21.0,35
Karnataka,Bengaluru,Summer,Mango;Grapes;Vegetables,Mango,Hot summer suited for orchards,55,35,30,6.4,32.5,15
Karnataka,Mysuru,Kharif,Rice;Sorghum;Tobacco,Rice,Traditional paddy & jowar cultivation,95,50,45,6.8,28.5,220
Karnataka,Mysuru,Rabi,Wheat;Ragi;Sunflower,Wheat,Winter crop cycle,70,45,40,6.6,21.0,35
Karnataka,Mysuru,Summer,Watermelon;Muskmelon;Moong,Watermelon,River-bank and irrigated summer crops,60,40,35,6.7,32.5,15
Karnataka,Ballari,Kharif,Sorghum;Groundnut;Cotton,Sorghum,Suitable for dryland agriculture,60,35,30,7.5,28.5,220
Karnataka,Ballari,Summer,Sunflower;Hybrid Bajra;Cotton,Sunflower,High-heat resistant varieties,50,30,25,7.6,32.5,15
Karnataka,Kolar,Kharif,Maize;Rice;Tomato,Maize,High-yield variety zones,85,55,50,6.8,28.5,220
Karnataka,Kolar,Summer,Tomato;Vegetables;Mulberry,Tomato,Intensive summer vegetable hub,75,45,40,7.0,32.5,15
Karnataka,Hassan,Rabi,Wheat;Ragi;Coffee;Black Pepper,Wheat,Preferred Rabi cereals and plantation,70,40,35,6.5,21.0,35
Karnataka,Hassan,Summer,Ginger;Potato;Turmeric,Ginger,Long-duration crops in summer,65,35,30,6.3,32.5,15
Karnataka,Dharwad,Kharif,Maize;Sorghum;Soybean,Maize,Hybrid maize varieties perform well,80,45,40,7.0,28.5,220
Karnataka,Dharwad,Summer,Green Gram;Sunflower,Green Gram,Pulse-based summer cycle,60,35,30,7.1,32.5,15
Karnataka,Mandya,Kharif,Rice;Sugarcane;Coconut,Rice,Sugarcane in irrigated belts,100,60,55,6.9,28.5,220
Karnataka,Mandya,Summer,Sugarcane;Rice;Watermelon,Sugarcane,Heavy irrigation support,95,55,50,6.8,32.5,15
Karnataka,Chitradurga,Rabi,Ragi;Chickpea;Mustard,Ragi,Millets recommended semi-arid area,60,40,35,7.8,21.0,35
